character	guide_name	KEGG_pathway	nt_1_merged	nt_2_merged	targeting_1_merged	targeting_2_merged
non-essential	ybiTb0820_977	nan	561	628	51	75
non-essential	ybiTb0820_1125	nan	357	408	12	17
non-essential	ybiTb0820_1408	nan	530	604	9	21
non-essential	ybiTb0820_1462	nan	252	292	120	219
non-essential	ybiUb0821_36	nan	388	485	505	560
non-essential	ybiUb0821_348	nan	492	512	878	809
non-essential	ybiUb0821_490	nan	486	529	818	801
non-essential	ybiUb0821_535	nan	246	242	356	317
non-essential	ybiUb0821_705	nan	585	665	813	797
non-essential	ybiUb0821_952	nan	536	471	534	549
non-essential	ybiUb0821_1181	nan	479	543	390	463
non-essential	ybiVb0822_202	K07757 ybiV; sugar-phosphatase [EC:3.1.3.23]	488	602	772	767
non-essential	ybiVb0822_305	K07757 ybiV; sugar-phosphatase [EC:3.1.3.23]	531	618	941	925
non-essential	ybiVb0822_386	K07757 ybiV; sugar-phosphatase [EC:3.1.3.23]	459	461	832	872
non-essential	ybiVb0822_425	K07757 ybiV; sugar-phosphatase [EC:3.1.3.23]	399	414	560	659
non-essential	ybiVb0822_569	K07757 ybiV; sugar-phosphatase [EC:3.1.3.23]	437	487	577	687
non-essential	ybiVb0822_657	K07757 ybiV; sugar-phosphatase [EC:3.1.3.23]	367	395	324	407
non-essential	ybiVb0822_721	K07757 ybiV; sugar-phosphatase [EC:3.1.3.23]	523	498	354	393
non-essential	ybiWb0823_195	K00656 E2.3.1.54; formate C-acetyltransferase [EC:2.3.1.54]	669	610	899	972
non-essential	ybiWb0823_447	K00656 E2.3.1.54; formate C-acetyltransferase [EC:2.3.1.54]	441	415	700	701
non-essential	ybiWb0823_582	K00656 E2.3.1.54; formate C-acetyltransferase [EC:2.3.1.54]	404	433	551	584
non-essential	ybiWb0823_821	K00656 E2.3.1.54; formate C-acetyltransferase [EC:2.3.1.54]	483	541	815	885
non-essential	ybiWb0823_1093	K00656 E2.3.1.54; formate C-acetyltransferase [EC:2.3.1.54]	428	489	773	704
non-essential	ybiWb0823_1244	K00656 E2.3.1.54; formate C-acetyltransferase [EC:2.3.1.54]	435	415	743	766
non-essential	ybiWb0823_1618	K00656 E2.3.1.54; formate C-acetyltransferase [EC:2.3.1.54]	476	534	585	618
non-essential	ybiWb0823_1729	K00656 E2.3.1.54; formate C-acetyltransferase [EC:2.3.1.54]	355	423	600	585
non-essential	ybiWb0823_1959	K00656 E2.3.1.54; formate C-acetyltransferase [EC:2.3.1.54]	400	422	641	553
non-essential	ybiWb0823_2240	K00656 E2.3.1.54; formate C-acetyltransferase [EC:2.3.1.54]	569	601	863	882
non-essential	ybiYb0824_2	K04069 pflA; pyruvate formate lyase activating enzyme [EC:1.97.1.4]	422	422	730	651
non-essential	ybiYb0824_126	K04069 pflA; pyruvate formate lyase activating enzyme [EC:1.97.1.4]	341	361	500	517
non-essential	ybiYb0824_299	K04069 pflA; pyruvate formate lyase activating enzyme [EC:1.97.1.4]	610	689	952	1010
non-essential	ybiYb0824_386	K04069 pflA; pyruvate formate lyase activating enzyme [EC:1.97.1.4]	453	455	728	808
non-essential	ybiYb0824_490	K04069 pflA; pyruvate formate lyase activating enzyme [EC:1.97.1.4]	541	589	757	878
non-essential	ybiYb0824_672	K04069 pflA; pyruvate formate lyase activating enzyme [EC:1.97.1.4]	554	526	838	889
non-essential	ybiYb0824_779	K04069 pflA; pyruvate formate lyase activating enzyme [EC:1.97.1.4]	395	423	659	616
non-essential	ybiYb0824_821	K04069 pflA; pyruvate formate lyase activating enzyme [EC:1.97.1.4]	328	407	547	534
non-essential	fsaAb0825_0	K08313 fsaA; fructose-6-phosphate aldolase 1 [EC:4.1.2.-]	343	358	465	554
non-essential	fsaAb0825_221	K08313 fsaA; fructose-6-phosphate aldolase 1 [EC:4.1.2.-]	373	425	663	668
non-essential	fsaAb0825_394	K08313 fsaA; fructose-6-phosphate aldolase 1 [EC:4.1.2.-]	214	307	418	440
non-essential	fsaAb0825_475	K08313 fsaA; fructose-6-phosphate aldolase 1 [EC:4.1.2.-]	350	340	563	531
non-essential	fsaAb0825_629	K08313 fsaA; fructose-6-phosphate aldolase 1 [EC:4.1.2.-]	437	498	665	652
non-essential	moeBb0826_43	K21029 moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	411	362	460	506
non-essential	moeBb0826_396	K21029 moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	394	374	465	437
non-essential	moeBb0826_518	K21029 moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	448	497	493	640
non-essential	moeBb0826_588	K21029 moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	575	584	297	296
non-essential	moeBb0826_717	K21029 moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	526	567	595	670
non-essential	moeAb0827_25	K03750 moeA; molybdopterin molybdotransferase [EC:2.10.1.1]	488	541	308	418
non-essential	moeAb0827_347	K03750 moeA; molybdopterin molybdotransferase [EC:2.10.1.1]	576	616	2	10
non-essential	moeAb0827_619	K03750 moeA; molybdopterin molybdotransferase [EC:2.10.1.1]	595	665	728	821
non-essential	moeAb0827_655	K03750 moeA; molybdopterin molybdotransferase [EC:2.10.1.1]	330	370	122	152
non-essential	moeAb0827_1095	K03750 moeA; molybdopterin molybdotransferase [EC:2.10.1.1]	332	391	264	358
non-essential	moeAb0827_1203	K03750 moeA; molybdopterin molybdotransferase [EC:2.10.1.1]	546	581	608	777
non-essential	iaaAb0828_0	K13051 ASRGL1; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]	567	633	75	108
non-essential	iaaAb0828_177	K13051 ASRGL1; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]	500	504	43	71
non-essential	iaaAb0828_290	K13051 ASRGL1; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]	360	423	643	626
non-essential	iaaAb0828_379	K13051 ASRGL1; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]	512	567	170	155
non-essential	iaaAb0828_425	K13051 ASRGL1; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]	372	401	401	430
non-essential	iaaAb0828_601	K13051 ASRGL1; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]	523	535	537	629
non-essential	iaaAb0828_766	K13051 ASRGL1; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]	632	655	1048	1012
non-essential	gsiAb0829_30	K13892 gsiA; glutathione transport system ATP-binding protein	378	448	545	704
non-essential	gsiAb0829_203	K13892 gsiA; glutathione transport system ATP-binding protein	313	331	73	107
non-essential	gsiAb0829_387	K13892 gsiA; glutathione transport system ATP-binding protein	596	644	887	885
non-essential	gsiAb0829_603	K13892 gsiA; glutathione transport system ATP-binding protein	498	523	625	708
non-essential	gsiAb0829_930	K13892 gsiA; glutathione transport system ATP-binding protein	369	359	331	372
non-essential	gsiAb0829_1008	K13892 gsiA; glutathione transport system ATP-binding protein	436	503	307	315
non-essential	gsiAb0829_1142	K13892 gsiA; glutathione transport system ATP-binding protein	395	487	559	607
non-essential	gsiAb0829_1486	K13892 gsiA; glutathione transport system ATP-binding protein	512	536	796	841
non-essential	gsiAb0829_1536	K13892 gsiA; glutathione transport system ATP-binding protein	156	204	56	105
non-essential	gsiAb0829_1821	K13892 gsiA; glutathione transport system ATP-binding protein	612	698	930	1023
non-essential	gsiBb0830_128	K13889 gsiB; glutathione transport system substrate-binding protein	333	315	289	399
non-essential	gsiBb0830_280	K13889 gsiB; glutathione transport system substrate-binding protein	472	522	764	782
non-essential	gsiBb0830_355	K13889 gsiB; glutathione transport system substrate-binding protein	412	452	674	628
non-essential	gsiBb0830_566	K13889 gsiB; glutathione transport system substrate-binding protein	571	615	917	912
non-essential	gsiBb0830_766	K13889 gsiB; glutathione transport system substrate-binding protein	330	408	630	641
non-essential	gsiBb0830_799	K13889 gsiB; glutathione transport system substrate-binding protein	537	583	618	632
non-essential	gsiBb0830_983	K13889 gsiB; glutathione transport system substrate-binding protein	499	607	785	806
non-essential	gsiBb0830_1161	K13889 gsiB; glutathione transport system substrate-binding protein	542	634	837	806
non-essential	gsiBb0830_1343	K13889 gsiB; glutathione transport system substrate-binding protein	362	396	383	493
non-essential	gsiBb0830_1506	K13889 gsiB; glutathione transport system substrate-binding protein	562	550	578	543
non-essential	gsiCb0831_8	K13890 gsiC; glutathione transport system permease protein	405	464	85	96
non-essential	gsiCb0831_503	K13890 gsiC; glutathione transport system permease protein	528	571	946	862
non-essential	gsiCb0831_590	K13890 gsiC; glutathione transport system permease protein	552	614	109	138
non-essential	gsiCb0831_665	K13890 gsiC; glutathione transport system permease protein	568	552	730	809
non-essential	gsiCb0831_781	K13890 gsiC; glutathione transport system permease protein	558	532	159	218
non-essential	gsiDb0832_5	K13891 gsiD; glutathione transport system permease protein	504	533	703	595
non-essential	gsiDb0832_172	K13891 gsiD; glutathione transport system permease protein	421	464	788	738
non-essential	gsiDb0832_212	K13891 gsiD; glutathione transport system permease protein	346	381	541	518
non-essential	gsiDb0832_356	K13891 gsiD; glutathione transport system permease protein	386	454	544	541
non-essential	gsiDb0832_438	K13891 gsiD; glutathione transport system permease protein	453	509	649	688
non-essential	gsiDb0832_573	K13891 gsiD; glutathione transport system permease protein	528	505	581	702
non-essential	gsiDb0832_693	K13891 gsiD; glutathione transport system permease protein	307	353	493	416
non-essential	gsiDb0832_787	K13891 gsiD; glutathione transport system permease protein	398	489	537	513
non-essential	gsiDb0832_878	K13891 gsiD; glutathione transport system permease protein	504	532	803	802
non-essential	pdeIb0833_169	nan	468	469	742	806
non-essential	pdeIb0833_465	nan	638	715	918	897
non-essential	pdeIb0833_536	nan	568	671	873	878
non-essential	pdeIb0833_781	nan	560	643	967	1001
non-essential	pdeIb0833_987	nan	416	488	680	734
non-essential	pdeIb0833_1224	nan	319	353	425	425
non-essential	pdeIb0833_1535	nan	356	428	608	625
non-essential	pdeIb0833_1859	nan	358	384	506	535
non-essential	pdeIb0833_1969	nan	546	571	740	735
non-essential	pdeIb0833_2237	nan	469	484	755	724
non-essential	dgcIb0834_84	nan	556	619	661	664
non-essential	dgcIb0834_342	nan	607	659	800	803
non-essential	dgcIb0834_431	nan	521	553	799	791
non-essential	dgcIb0834_630	nan	563	603	899	803
non-essential	dgcIb0834_766	nan	380	399	458	481
non-essential	dgcIb0834_924	nan	558	574	796	744
non-essential	dgcIb0834_1028	nan	455	490	605	670
non-essential	dgcIb0834_1170	nan	522	543	644	616
non-essential	dgcIb0834_1268	nan	544	588	662	706
non-essential	rimOb0835_96	K14441 rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	518	520	151	243
non-essential	rimOb0835_188	K14441 rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	575	593	440	543
non-essential	rimOb0835_287	K14441 rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	523	533	786	731
non-essential	rimOb0835_407	K14441 rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	381	404	355	436
non-essential	rimOb0835_650	K14441 rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	639	717	852	839
non-essential	rimOb0835_761	K14441 rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	369	407	390	473
non-essential	rimOb0835_930	K14441 rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	558	621	347	448
non-essential	rimOb0835_1058	K14441 rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	595	673	657	712
non-essential	rimOb0835_1126	K14441 rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	395	421	487	561
non-essential	rimOb0835_1274	K14441 rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	441	478	564	620
non-essential	bssRb0836_67	K19688 bssR; biofilm regulator BssR	568	610	1226	1044
non-essential	bssRb0836_105	K19688 bssR; biofilm regulator BssR	292	314	96	30
non-essential	bssRb0836_281	K19688 bssR; biofilm regulator BssR	490	521	762	509
non-essential	bssRb0836_314	K19688 bssR; biofilm regulator BssR	472	497	364	153
non-essential	yliIb0837_21	K21430 yliI; aldose sugar dehydrogenase [EC:1.1.5.-]	364	437	461	454
non-essential	yliIb0837_132	K21430 yliI; aldose sugar dehydrogenase [EC:1.1.5.-]	483	512	878	807
non-essential	yliIb0837_257	K21430 yliI; aldose sugar dehydrogenase [EC:1.1.5.-]	329	338	567	554
non-essential	yliIb0837_345	K21430 yliI; aldose sugar dehydrogenase [EC:1.1.5.-]	403	388	701	628
non-essential	yliIb0837_514	K21430 yliI; aldose sugar dehydrogenase [EC:1.1.5.-]	509	516	643	648
non-essential	yliIb0837_663	K21430 yliI; aldose sugar dehydrogenase [EC:1.1.5.-]	520	563	808	758
non-essential	yliIb0837_771	K21430 yliI; aldose sugar dehydrogenase [EC:1.1.5.-]	428	460	700	644
non-essential	yliIb0837_871	K21430 yliI; aldose sugar dehydrogenase [EC:1.1.5.-]	283	327	385	385
non-essential	yliIb0837_1001	K21430 yliI; aldose sugar dehydrogenase [EC:1.1.5.-]	657	676	1082	1047
non-essential	gstBb0838_1	K00799 GST; glutathione S-transferase [EC:2.5.1.18]	464	483	181	237
non-essential	gstBb0838_112	K00799 GST; glutathione S-transferase [EC:2.5.1.18]	522	528	218	300
non-essential	gstBb0838_402	K00799 GST; glutathione S-transferase [EC:2.5.1.18]	591	610	944	923
non-essential	gstBb0838_502	K00799 GST; glutathione S-transferase [EC:2.5.1.18]	481	586	215	343
non-essential	gstBb0838_591	K00799 GST; glutathione S-transferase [EC:2.5.1.18]	426	492	678	688
non-essential	dacCb0839_0	K07258 dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	46	49	14	6
non-essential	dacCb0839_302	K07258 dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	9	21	30	41
non-essential	dacCb0839_369	K07258 dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	480	459	660	753
non-essential	dacCb0839_602	K07258 dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	443	515	589	663
non-essential	dacCb0839_680	K07258 dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	566	638	410	423
non-essential	dacCb0839_797	K07258 dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	403	480	641	668
non-essential	dacCb0839_917	K07258 dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	609	601	883	923
non-essential	dacCb0839_1037	K07258 dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	411	446	458	467
non-essential	dacCb0839_1117	K07258 dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	401	462	431	450
non-essential	deoRb0840_183	K11534 deoR; DeoR family transcriptional regulator, deoxyribose operon repressor	536	601	6	7
non-essential	deoRb0840_310	K11534 deoR; DeoR family transcriptional regulator, deoxyribose operon repressor	379	390	368	408
non-essential	deoRb0840_346	K11534 deoR; DeoR family transcriptional regulator, deoxyribose operon repressor	346	387	346	413
non-essential	deoRb0840_538	K11534 deoR; DeoR family transcriptional regulator, deoxyribose operon repressor	598	624	258	337
non-essential	deoRb0840_695	K11534 deoR; DeoR family transcriptional regulator, deoxyribose operon repressor	556	643	16	27
non-essential	ybjGb0841_16	K19302 bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]	284	339	2	2
non-essential	ybjGb0841_248	K19302 bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]	453	421	33	72
non-essential	ybjGb0841_398	K19302 bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]	374	416	485	509
non-essential	ybjGb0841_530	K19302 bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]	456	511	256	334
non-essential	mdfAb0842_54	K08160 mdfA; MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein	419	480	161	219
non-essential	mdfAb0842_251	K08160 mdfA; MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein	512	533	547	666
non-essential	mdfAb0842_599	K08160 mdfA; MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein	627	649	535	659
non-essential	mdfAb0842_934	K08160 mdfA; MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein	438	390	260	364
non-essential	mdfAb0842_1016	K08160 mdfA; MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein	372	408	68	150
non-essential	mdfAb0842_1132	K08160 mdfA; MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein	525	495	841	894
non-essential	ybjHb0843_14	nan	253	299	416	369
non-essential	ybjHb0843_195	nan	484	509	389	465
non-essential	ybjIb0844_84	K20861 ybjI; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	621	670	1041	1000
non-essential	ybjIb0844_122	K20861 ybjI; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	613	697	950	941
non-essential	ybjIb0844_295	K20861 ybjI; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	452	502	317	373
non-essential	ybjIb0844_378	K20861 ybjI; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	385	397	326	384
non-essential	ybjIb0844_452	K20861 ybjI; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	460	479	216	272
non-essential	ybjIb0844_528	K20861 ybjI; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	667	690	991	935
non-essential	ybjIb0844_667	K20861 ybjI; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	571	617	876	860
non-essential	ybjIb0844_758	K20861 ybjI; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	515	543	679	738
non-essential	ybjJb0845_6	nan	450	509	497	593
non-essential	ybjJb0845_139	nan	442	514	542	574
non-essential	ybjJb0845_345	nan	309	364	474	545
non-essential	ybjJb0845_406	nan	29	27	32	28
non-essential	ybjJb0845_703	nan	329	357	462	461
non-essential	ybjJb0845_1078	nan	511	542	450	494
non-essential	rcdAb0846_58	K23778 rcdA; TetR/AcrR family transcriptional regulator, regulator of biofilm formation and stress response	491	539	423	480
non-essential	rcdAb0846_145	K23778 rcdA; TetR/AcrR family transcriptional regulator, regulator of biofilm formation and stress response	433	480	267	315
non-essential	rcdAb0846_265	K23778 rcdA; TetR/AcrR family transcriptional regulator, regulator of biofilm formation and stress response	566	584	51	109
non-essential	rcdAb0846_357	K23778 rcdA; TetR/AcrR family transcriptional regulator, regulator of biofilm formation and stress response	576	663	513	544
non-essential	ybjLb0847_35	K07085 K07085; putative transport protein	287	288	308	327
non-essential	ybjLb0847_470	K07085 K07085; putative transport protein	447	488	571	724
non-essential	ybjLb0847_521	K07085 K07085; putative transport protein	294	369	418	399
non-essential	ybjLb0847_693	K07085 K07085; putative transport protein	437	484	285	371
non-essential	ybjLb0847_1002	K07085 K07085; putative transport protein	512	527	37	77
non-essential	ybjLb0847_1041	K07085 K07085; putative transport protein	467	433	761	731
non-essential	ybjLb0847_1335	K07085 K07085; putative transport protein	330	397	187	239
non-essential	ybjLb0847_1464	K07085 K07085; putative transport protein	436	505	621	626
non-essential	ybjLb0847_1653	K07085 K07085; putative transport protein	530	550	577	619
non-essential	ybjMb0848_100	nan	439	426	681	631
non-essential	ybjMb0848_215	nan	367	394	222	321
non-essential	grxAb0849_48	K03674 grxA; glutaredoxin 1	521	581	305	475
non-essential	grxAb0849_186	K03674 grxA; glutaredoxin 1	425	405	426	504
non-essential	ybjCb0850_1	nan	525	610	565	708
non-essential	nfsAb0851_10	K10678 nfsA; nitroreductase [EC:1.-.-.-]	300	308	115	159
non-essential	nfsAb0851_134	K10678 nfsA; nitroreductase [EC:1.-.-.-]	563	574	385	392
non-essential	nfsAb0851_238	K10678 nfsA; nitroreductase [EC:1.-.-.-]	383	343	507	536
non-essential	nfsAb0851_377	K10678 nfsA; nitroreductase [EC:1.-.-.-]	481	530	736	676
non-essential	nfsAb0851_515	K10678 nfsA; nitroreductase [EC:1.-.-.-]	539	608	28	68
non-essential	nfsAb0851_573	K10678 nfsA; nitroreductase [EC:1.-.-.-]	558	560	311	308
non-essential	nfsAb0851_670	K10678 nfsA; nitroreductase [EC:1.-.-.-]	346	329	321	350
non-essential	rimKb0852_96	K05844 rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	388	368	3	3
non-essential	rimKb0852_133	K05844 rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	503	565	26	29
non-essential	rimKb0852_417	K05844 rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	547	592	497	557
non-essential	rimKb0852_613	K05844 rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	401	485	192	265
non-essential	rimKb0852_869	K05844 rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	523	475	91	144
non-essential	ybjNb0853_17	nan	659	720	921	975
non-essential	ybjNb0853_239	nan	598	609	1	7
non-essential	ybjNb0853_315	nan	490	540	623	647
non-essential	ybjNb0853_444	nan	491	513	136	226
non-essential	potFb0854_95	K11073 potF; putrescine transport system substrate-binding protein	403	397	454	498
non-essential	potFb0854_170	K11073 potF; putrescine transport system substrate-binding protein	488	529	897	817
non-essential	potFb0854_286	K11073 potF; putrescine transport system substrate-binding protein	514	534	728	844
non-essential	potFb0854_359	K11073 potF; putrescine transport system substrate-binding protein	526	604	907	873
non-essential	potFb0854_559	K11073 potF; putrescine transport system substrate-binding protein	486	446	684	645
non-essential	potFb0854_651	K11073 potF; putrescine transport system substrate-binding protein	654	668	1063	1097
non-essential	potFb0854_684	K11073 potF; putrescine transport system substrate-binding protein	503	605	793	904
non-essential	potFb0854_862	K11073 potF; putrescine transport system substrate-binding protein	320	366	470	541
non-essential	potFb0854_977	K11073 potF; putrescine transport system substrate-binding protein	428	521	671	778
non-essential	potFb0854_1032	K11073 potF; putrescine transport system substrate-binding protein	453	445	690	700
non-essential	potGb0855_278	K11076 potG; putrescine transport system ATP-binding protein	502	471	634	684
non-essential	potGb0855_679	K11076 potG; putrescine transport system ATP-binding protein	392	408	611	586
non-essential	potGb0855_732	K11076 potG; putrescine transport system ATP-binding protein	289	302	448	481
non-essential	potHb0856_101	K11075 potH; putrescine transport system permease protein	292	300	485	489
non-essential	potHb0856_255	K11075 potH; putrescine transport system permease protein	414	408	649	689
non-essential	potHb0856_397	K11075 potH; putrescine transport system permease protein	420	411	525	533
non-essential	potHb0856_617	K11075 potH; putrescine transport system permease protein	338	417	457	506
non-essential	potHb0856_662	K11075 potH; putrescine transport system permease protein	578	619	995	950
non-essential	potHb0856_801	K11075 potH; putrescine transport system permease protein	345	397	599	607
non-essential	potHb0856_890	K11075 potH; putrescine transport system permease protein	362	358	611	571
non-essential	potIb0857_38	K11074 potI; putrescine transport system permease protein	417	498	851	760
non-essential	potIb0857_180	K11074 potI; putrescine transport system permease protein	507	524	669	730
non-essential	potIb0857_276	K11074 potI; putrescine transport system permease protein	412	445	736	659
non-essential	potIb0857_342	K11074 potI; putrescine transport system permease protein	297	315	440	474
non-essential	potIb0857_472	K11074 potI; putrescine transport system permease protein	402	439	652	664
non-essential	potIb0857_594	K11074 potI; putrescine transport system permease protein	265	308	374	365
non-essential	potIb0857_734	K11074 potI; putrescine transport system permease protein	340	372	550	523
non-essential	ybjOb0858_25	nan	470	501	1	5
non-essential	ybjOb0858_161	nan	365	388	549	504
non-essential	ybjOb0858_223	nan	536	549	93	103
non-essential	ybjOb0858_369	nan	502	562	336	422
non-essential	ybjOb0858_425	nan	475	486	697	778
non-essential	rlmCb0859_38	K03212 rumB; 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]	419	448	94	132
non-essential	rlmCb0859_155	K03212 rumB; 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]	480	497	109	171
non-essential	rlmCb0859_249	K03212 rumB; 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]	376	414	73	125
non-essential	rlmCb0859_404	K03212 rumB; 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]	559	585	607	631
non-essential	rlmCb0859_510	K03212 rumB; 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]	377	419	334	380
non-essential	rlmCb0859_768	K03212 rumB; 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]	439	470	231	361
non-essential	rlmCb0859_957	K03212 rumB; 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]	486	499	556	622
non-essential	rlmCb0859_1024	K03212 rumB; 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]	477	500	176	274
non-essential	artJb0860_7	K09996 artJ; arginine transport system substrate-binding protein	434	500	368	371
non-essential	artJb0860_180	K09996 artJ; arginine transport system substrate-binding protein	467	495	596	586
non-essential	artJb0860_311	K09996 artJ; arginine transport system substrate-binding protein	497	540	352	364
non-essential	artJb0860_428	K09996 artJ; arginine transport system substrate-binding protein	612	627	967	896
non-essential	artJb0860_570	K09996 artJ; arginine transport system substrate-binding protein	345	374	491	447
non-essential	artJb0860_653	K09996 artJ; arginine transport system substrate-binding protein	705	744	968	1038
non-essential	artMb0861_66	K09998 artM; arginine transport system permease protein	461	543	279	292
non-essential	artMb0861_189	K09998 artM; arginine transport system permease protein	271	277	192	202
non-essential	artMb0861_329	K09998 artM; arginine transport system permease protein	433	511	193	296
non-essential	artMb0861_426	K09998 artM; arginine transport system permease protein	476	466	571	544
non-essential	artMb0861_636	K09998 artM; arginine transport system permease protein	511	517	167	249
non-essential	artQb0862_177	K09999 artQ; arginine transport system permease protein	351	332	280	349
non-essential	artQb0862_290	K09999 artQ; arginine transport system permease protein	466	561	206	271
non-essential	artQb0862_323	K09999 artQ; arginine transport system permease protein	559	629	361	446
non-essential	artQb0862_528	K09999 artQ; arginine transport system permease protein	385	404	441	450
non-essential	artQb0862_648	K09999 artQ; arginine transport system permease protein	597	588	159	207
non-essential	artIb0863_64	K09997 artI; arginine transport system substrate-binding protein	432	465	512	504
non-essential	artIb0863_410	K09997 artI; arginine transport system substrate-binding protein	544	567	61	76
non-essential	artPb0864_10	K10000 artP; arginine transport system ATP-binding protein [EC:7.4.2.1]	394	455	29	72
non-essential	artPb0864_403	K10000 artP; arginine transport system ATP-binding protein [EC:7.4.2.1]	338	417	533	550
non-essential	artPb0864_520	K10000 artP; arginine transport system ATP-binding protein [EC:7.4.2.1]	509	572	122	164
non-essential	artPb0864_624	K10000 artP; arginine transport system ATP-binding protein [EC:7.4.2.1]	387	450	104	89
non-essential	ybjPb0865_53	nan	611	645	954	938
non-essential	ybjPb0865_195	nan	583	607	1007	1057
non-essential	ybjPb0865_266	nan	526	630	654	697
non-essential	ybjPb0865_326	nan	577	604	997	883
non-essential	ybjPb0865_483	nan	560	650	869	871
non-essential	ybjQb0866_69	nan	426	480	697	686
